DateTime,AddedIPs,RemovedIPs
1536469237,1,0
1536472837,2,6
1536476440,1,1
1536480039,2,5
1536483637,0,20
1536487237,1,15
1536490835,3,0
1536494437,4,1
1536498048,2,1
1536501637,0,6
1536505237,0,4
1536508836,1,4
1536512436,6,9
1536516039,1,15
1536519636,0,1
1536523236,11,2
1536526836,25,2
1536530438,0,2
1536534037,1,2
1536537637,2,1
1536544838,0,1
1536548437,0,2
1536555638,2,1
1536562837,0,1
1536577237,0,1
1536588038,3,1
1536591637,2,0
1536595237,0,1
1536598834,2,1
1536606037,2,0
1536609637,1,0
1536613238,2,0
1536616837,3,4
1536620432,2,27
1536624036,1,1
1536627636,0,2
1536631236,2,36
1536634844,0,2
1536638435,1,4
1536642035,0,1
1536649234,0,3
1536652841,0,3
1536656433,1,0
1536660035,0,2
1536663636,1,2
1536667240,3,0
1536674435,1,1
1536678035,2,1
1536681633,0,1
1536685238,2,2
1536692442,0,1
1536696036,0,1
1536699639,1,50
1536703229,1,12
1536706841,1,4
1536710438,1,3
1536714026,1,2
1536721226,1,2
1536724828,1,4
1536728426,1,4
1536735625,1,0
1536739229,0,1
1536742827,0,1
1536750029,0,2
1536753634,1,2
1536760826,30,0
1536764433,0,1
1536768031,0,3
1536771633,2,0
1536775231,1,0
1536778833,3,1
1536782429,1,0
1536786032,1,0
1536789628,1,3
1536793229,0,2
1536796829,2,3
1536807632,3,0
1536811234,5,0
1536814831,3,0
1536818434,4,0
1536822032,1,0
1536825633,1,0
1536829242,0,1
1536832833,0,1
1536836434,1,1
1536840033,3,1
1536843634,0,2
1536850836,1,1
1536854435,1,1
1536858043,4,2
1536861653,1,1
1536865237,3,1
1536868846,2,3
1536872438,1,40
1536876028,4,2
1536879650,1,3
1536883239,3,10
1536890444,2,0
1536897642,4,0
1536904847,1,1
1536912027,0,1
1536915631,2,0
1536919232,2,0
1536922830,6,0
1536930032,2,2
1536933626,1,1
1536940827,2,0
1536948031,0,1
1536951631,0,1
1536955236,0,2
1536958835,1,1
1536962430,28,0
1536966036,0,1
1536969635,1,1
1536976834,1,0
1536984041,0,1
1536987632,1,0
1536991235,0,1
1536994833,0,2
1536998434,0,2
1537016441,0,2
1537020029,0,1
1537030830,0,1
1537034432,1,2
1537045232,0,1
1537048833,0,2
1537056033,0,2
1537059633,0,4
1537066831,0,1
1537070429,3,1
1537074032,5,0
1537077633,1,0
1537081231,1,1
1537084834,2,4
1537088430,1,4
1537092032,2,3
1537095632,0,4
1537099231,0,5
1537102832,1,4
1537110032,0,1
1537113637,2,2
1537117231,4,3
1537120832,3,2
1537124432,4,2
1537128028,7,12
1537131625,0,23
1537135231,2,0
1537138826,1,3
1537142432,2,3
1537149631,1,0
1537156831,0,1
1537160432,1,2
1537164031,1,0
1537167632,27,0
1537171237,2,0
1537178433,1,0
1537185631,1,0
1537189234,2,0
1537192832,3,1
1537196432,2,2
1537200032,1,1
1537203632,3,0
1537207232,1,1
1537210843,0,2
1537214434,0,1
1537218033,2,3
1537221633,4,3
1537225231,1,3
1537232432,1,0
1537236036,2,1
1537239633,2,2
1537243234,0,1
1537246834,1,2
1537250434,1,0
1537254030,0,1
1537257633,2,2
1537261234,1,0
1537268435,1,0
1537272034,0,1
1537275729,0,2
1537282842,2,3
1537286432,4,1
1537290035,1,0
1537293635,7,2
1537297229,15,0
1537300829,12,0
1537304429,9,3
1537308038,3,2
1537311637,6,1
1537315235,2,1
1537318838,5,0
1537322436,7,1
1537326035,1,0
1537329635,3,1
1537336835,1,1
1537344037,0,2
1537347640,2,0
1537351240,0,1
1537354832,1,0
1537358430,0,1
1537365629,1,25
1537369233,2,0
1537372832,1,1
1537376432,0,1
1537380036,0,2
1537383631,1,6
1537387234,0,1
1537390834,0,2
1537394439,25,1
1537412437,4,1
1537416037,2,0
1537419636,1,2
1537423238,2,1
1537434034,3,0
1537437636,1,0
1537441237,1,1
1537452036,1,0
1537455638,1,1
1537459234,0,1
1537462837,1,2
1537466437,1,0
1537470040,0,3
1537473638,0,6
1537477241,2,1
1537480840,3,7
1537484435,2,5
1537488038,0,1
1537495236,0,3
1537498835,1,1
1537502434,0,1
1537506038,1,1
1537509635,1,2
1537516836,0,1
1537520434,2,0
1537524036,1,0
1537527636,0,14
1537531231,1,0
1537534836,2,0
1537538430,3,0
1537542033,1,0
1537545632,1,4
1537549234,2,0
1537556428,0,2
1537560036,24,0
1537567236,1,22
1537570831,1,4
1537574437,1,1
1537578035,10,1
1537581634,0,1
1537585234,2,1
1537592434,1,0
1537596035,1,0
1537603240,39,0
1537606836,2,2
1537610440,1,0
1537617640,0,2
1537621236,3,0
1537639243,0,1
1537642845,2,0
1537646443,0,1
1537650045,4,0
1537653641,1,0
1537660845,1,0
1537675242,1,0
1537678837,2,1
1537682452,2,0
1537686037,2,0
1537689638,2,0
1537693238,2,0
1537696844,1,1
1537704044,1,0
1537707640,2,0
1537711248,2,1
1537714840,0,1
1537718441,0,2
1537722063,0,4
1537725637,1,3
1537729246,0,4
1537732838,18,8
1537736440,0,1
1537740042,0,4
1537743630,0,1
1537747238,0,1
1537750834,0,1
1537768838,0,1
1537772436,0,21
1537776038,1,1
1537783239,0,1
1537786837,0,1
1537794036,0,3
1537797634,0,2
1537801234,1,1
1537804846,0,2
1537808432,2,1
1537812036,0,3
1537819241,2,0
1537822833,0,1
1537826435,0,5
1537830039,3,0
1537833636,0,1
1537837236,2,1
1537840839,0,4
1537844439,1,1
1537848037,5,0
1537851636,3,0
1537855243,1,2
1537858839,2,2
1537866037,5,1
